SKU	AUCTION TYPE	ITEM NUMBER	LIST TIMESTAMP	ERRORS	
BS2250PK	Chinese	300888531909	2013-04-10T08:32:50.216Z	
BS9502	Chinese	310648726875	2013-04-10T08:35:36.371Z	
CA8109	Chinese	300888535707	2013-04-10T08:42:19.481Z	
DR5679	Chinese	360633368348	2013-04-10T08:44:43.636Z	
EC8812	Chinese	300888537438	2013-04-10T08:47:31.785Z	
FN0165	Chinese	360633376539	2013-04-10T09:07:04.309Z	

GF1693	Chinese	310648741139	2013-04-10T09:07:10.546Z	

GH1700	Chinese	300888542082	2013-04-10T09:07:18.411Z	

GW4600RD	Chinese	310648741397	2013-04-10T09:07:24.713Z	

HN2100	Chinese	360633376877	2013-04-10T09:07:31.089Z	

JH1651	Chinese	300888542142	2013-04-10T09:07:37.711Z	

JY2098	Chinese	310648741458	2013-04-10T09:07:43.017Z	

NF6035	Chinese	300888542182	2013-04-10T09:07:49.044Z	

PB8803	Chinese	360633377013	2013-04-10T09:07:55.072Z	

PL0972	Chinese	310648741546	2013-04-10T09:08:01.263Z	

PP1175GR	Chinese	360633377108	2013-04-10T09:08:07.526Z	

SR1005	Chinese	360633377142	2013-04-10T09:08:13.465Z	

SR9504	Chinese	360633377188	2013-04-10T09:08:23.039Z	

TV2500BK	Chinese	360633377222	2013-04-10T09:08:29.290Z	
AC0005RDBK	FixedPriceItem	310648742080	2013-04-10T09:10:05.181Z	
AH0624	FixedPriceItem	300888543981	2013-04-10T09:14:11.268Z	

BB1078	FixedPriceItem	360633378882	2013-04-10T09:14:17.707Z	

BB1840	FixedPriceItem	310648743688	2013-04-10T09:14:23.647Z	

BC0173	FixedPriceItem	310648743729	2013-04-10T09:14:30.289Z	

BC5007RD	FixedPriceItem	360633378956	2013-04-10T09:14:36.837Z	

BC559A	FixedPriceItem	360633378970	2013-04-10T09:14:42.333Z	

BK8X70	FixedPriceItem	310648743889	2013-04-10T09:14:49.779Z	

BL1100BK	FixedPriceItem	360633379001	2013-04-10T09:14:56.263Z	

BR1050	FixedPriceItem	300888544255	2013-04-10T09:15:02.259Z	

BS4040	FixedPriceItem	310648743984	2013-04-10T09:15:08.659Z	

BT3837	FixedPriceItem	310648744032	2013-04-10T09:15:14.866Z	

BT5500	FixedPriceItem	310648744073	2013-04-10T09:15:21.467Z	

BT8347	FixedPriceItem	300888544358	2013-04-10T09:15:27.929Z	

BY7641	FixedPriceItem	360633379129	2013-04-10T09:15:34.426Z	

BZ7682	FixedPriceItem	310648744210	2013-04-10T09:15:40.802Z	

BZ7791	FixedPriceItem	310648744238	2013-04-10T09:15:47.585Z	

BZ7791BL	FixedPriceItem	360633379274	2013-04-10T09:15:54.431Z	

BZ7791YL	FixedPriceItem	300888544474	2013-04-10T09:16:00.656Z	

BZ7871	FixedPriceItem	360633379347	2013-04-10T09:16:07.740Z	
CA8030BS	FixedPriceItem	300888545340	2013-04-10T09:18:53.877Z	

CB2000	FixedPriceItem	360633380207	2013-04-10T09:19:00.190Z	

CB8010	FixedPriceItem	310648745429	2013-04-10T09:19:06.478Z	

CC6800	FixedPriceItem	360633380250	2013-04-10T09:19:12.603Z	

CF2980	FixedPriceItem	300888545557	2013-04-10T09:19:18.701Z	

CG2756	FixedPriceItem	310648745501	2013-04-10T09:19:24.730Z	

CH9001	FixedPriceItem	300888545630	2013-04-10T09:19:30.978Z	

CK0937	FixedPriceItem	300888545670	2013-04-10T09:19:35.947Z	

CL7700RD	FixedPriceItem	310648745575	2013-04-10T09:19:42.421Z	

CP4011	FixedPriceItem	310648745612	2013-04-10T09:19:48.854Z	

CR1000	FixedPriceItem	310648745629	2013-04-10T09:19:55.319Z	

CR1090	FixedPriceItem	310648745655	2013-04-10T09:20:02.102Z	

CR1090YL	FixedPriceItem	300888545865	2013-04-10T09:20:08.208Z	

CR1900GE	FixedPriceItem	360633380507	2013-04-10T09:20:14.863Z	

CR6501BL	FixedPriceItem	300888545910	2013-04-10T09:20:21.429Z	

CR8500BR	FixedPriceItem	310648745825	2013-04-10T09:20:27.855Z	

CR8800	FixedPriceItem	300888545950	2013-04-10T09:20:34.881Z	

CS8801BK	FixedPriceItem	310648745889	2013-04-10T09:20:40.664Z	

CT0840BKX2	FixedPriceItem	300888545994	2013-04-10T09:20:46.772Z	

CT1612	FixedPriceItem	300888546005	2013-04-10T09:20:52.168Z	

CT1650	FixedPriceItem	360633380721	2013-04-10T09:20:58.699Z	

CYPWCAMN2	FixedPriceItem	360633380744	2013-04-10T09:21:05.484Z	

CZ8011RD	FixedPriceItem	300888546091	2013-04-10T09:21:11.759Z	

DA4900	FixedPriceItem	310648746167	2013-04-10T09:21:18.181Z	

DB8162	FixedPriceItem	300888546138	2013-04-10T09:21:24.988Z	

DB8503	FixedPriceItem	310648746245	2013-04-10T09:21:31.554Z	

DB8656BR	FixedPriceItem	300888546170	2013-04-10T09:21:37.883Z	

DG5628	FixedPriceItem	300888546194	2013-04-10T09:21:45.098Z	

DN5000	FixedPriceItem	300888546221	2013-04-10T09:21:51.220Z	

DR0810RD	FixedPriceItem	300888546243	2013-04-10T09:21:57.431Z	

DR5008	FixedPriceItem	310648746386	2013-04-10T09:22:03.859Z	

DT0320	FixedPriceItem	300888546289	2013-04-10T09:22:10.340Z	

EB0370DB	FixedPriceItem	300888546327	2013-04-10T09:22:16.544Z	

EG0260BK	FixedPriceItem	310648746574	2013-04-10T09:22:22.975Z	

EG4600BK	FixedPriceItem	310648746598	2013-04-10T09:22:29.009Z	

EQ0114SL	FixedPriceItem	360633381226	2013-04-10T09:22:35.457Z	

EQ0114WT	FixedPriceItem	360633381268	2013-04-10T09:22:41.977Z	

EV4320RD	FixedPriceItem	310648746788	2013-04-10T09:22:48.587Z	

EW0201	FixedPriceItem	310648746811	2013-04-10T09:22:55.052Z	

FB0958RD	FixedPriceItem	300888546500	2013-04-10T09:23:03.112Z	

FC9043	FixedPriceItem	360633381402	2013-04-10T09:23:09.789Z	

FD0189	FixedPriceItem	310648746902	2013-04-10T09:23:16.189Z	

FD0190	FixedPriceItem	310648746923	2013-04-10T09:23:22.416Z	

FD1180	FixedPriceItem	310648747048	2013-04-10T09:23:28.551Z	

FD3331	FixedPriceItem	300888546611	2013-04-10T09:23:34.299Z	

FD9109	FixedPriceItem	300888546633	2013-04-10T09:23:41.333Z	

FT0006BL	FixedPriceItem	310648747104	2013-04-10T09:23:47.117Z	

G2165RD	FixedPriceItem	310648747128	2013-04-10T09:23:53.168Z	

GB4080	FixedPriceItem	300888546681	2013-04-10T09:23:59.070Z	

GB8040	FixedPriceItem	310648747168	2013-04-10T09:24:05.515Z	

GD9365	FixedPriceItem	300888546716	2013-04-10T09:24:11.986Z	

GE9504	FixedPriceItem	300888546731	2013-04-10T09:24:18.699Z	

GE9504BR	FixedPriceItem	360633381842	2013-04-10T09:24:24.600Z	

GG2011BK	FixedPriceItem	300888546760	2013-04-10T09:24:31.036Z	

GK2000	FixedPriceItem	360633381920	2013-04-10T09:24:37.255Z	

GM3182	FixedPriceItem	310648747322	2013-04-10T09:24:45.836Z	

GM8050	FixedPriceItem	360633382039	2013-04-10T09:24:51.900Z	

GP0650	FixedPriceItem	300888546821	2013-04-10T09:24:58.699Z	

HB0888	FixedPriceItem	360633382149	2013-04-10T09:25:04.954Z	

HB1003	FixedPriceItem	300888546866	2013-04-10T09:25:10.323Z	

HB1004	FixedPriceItem	360633382208	2013-04-10T09:25:16.622Z	

HG8300RD	FixedPriceItem	300888546910	2013-04-10T09:25:22.614Z	

HL1133SL	FixedPriceItem	300888546934	2013-04-10T09:25:29.696Z	

HL6740	FixedPriceItem	310648747504	2013-04-10T09:25:36.218Z	

HT2000	FixedPriceItem	310648747523	2013-04-10T09:25:42.285Z	

HX0086	FixedPriceItem	310648747546	2013-04-10T09:25:48.182Z	

IG1336	FixedPriceItem	360633382479	2013-04-10T09:25:54.296Z	

JB001CBZ	FixedPriceItem	300888547041	2013-04-10T09:26:00.306Z	

JH0560	FixedPriceItem	360633382546	2013-04-10T09:26:06.019Z	

JH0960	FixedPriceItem	310648747714	2013-04-10T09:26:12.031Z	

JH1607CF	FixedPriceItem	360633382616	2013-04-10T09:26:17.634Z	

JH1607RB	FixedPriceItem	310648747801	2013-04-10T09:26:23.852Z	

JH1711	FixedPriceItem	310648747847	2013-04-10T09:26:30.439Z	

JP0002	FixedPriceItem	310648747875	2013-04-10T09:26:36.755Z	

JY2910	FixedPriceItem	310648747911	2013-04-10T09:26:43.132Z	

KA0701	FixedPriceItem	310648747942	2013-04-10T09:26:50.321Z	

KB1350	FixedPriceItem	310648747982	2013-04-10T09:26:56.772Z	

